accuracy,recall,roc_auc,model,tn,fp,fn,tp
0.9545777146912704,0.9411764705882352,0.9920974450386216,LogisticRegression,,,,
0.9943222143364088,0.9812834224598932,0.9999302487793535,RandomForest,1034.0,1.0,7.0,367.0
0.9978708303761532,0.997326203208556,0.9999870831072876,AdaBoost,1033.0,2.0,1.0,373.0
0.9985805535841022,0.997326203208556,0.9999819163502028,XGBoost,1034.0,1.0,1.0,373.0
1.0,1.0,1.0,MLPClassifier,1035.0,0.0,0.0,374.0
1.0,1.0,1.0,MLPClassifier,1035.0,0.0,0.0,374.0
0.9531582682753726,0.8877005347593583,0.9890800589010308,MLPClassifier,1011.0,24.0,42.0,332.0
0.9304471256210078,0.8181818181818182,0.9746648066341164,RandomForest,1005.0,30.0,68.0,306.0
0.9453513129879348,0.8342245989304813,0.9798935648040508,AdaBoost,1020.0,15.0,62.0,312.0
0.9559971611071684,0.8689839572192514,0.9875868661034902,XGBoost,1022.0,13.0,49.0,325.0
0.9531582682753726,0.8877005347593583,0.9890800589010308,MLPClassifier,1011.0,24.0,42.0,332.0
0.9304471256210078,0.8181818181818182,0.9746648066341164,RandomForest,1005.0,30.0,68.0,306.0
0.9453513129879348,0.8342245989304813,0.9798935648040508,AdaBoost,1020.0,15.0,62.0,312.0
0.9559971611071684,0.8689839572192514,0.9875868661034902,XGBoost,1022.0,13.0,49.0,325.0
0.9531582682753726,0.8877005347593583,0.9890800589010308,MLPClassifier,1011.0,24.0,42.0,332.0
0.9304471256210078,0.8181818181818182,0.9746648066341164,RandomForest,1005.0,30.0,68.0,306.0
0.9453513129879348,0.8342245989304813,0.9798935648040508,AdaBoost,1020.0,15.0,62.0,312.0
0.9559971611071684,0.8689839572192514,0.9875868661034902,XGBoost,1022.0,13.0,49.0,325.0
0.9531582682753726,0.8877005347593583,0.9890800589010308,MLPClassifier,1011.0,24.0,42.0,332.0
0.9304471256210078,0.8181818181818182,0.9746648066341164,RandomForest,1005.0,30.0,68.0,306.0
0.9453513129879348,0.8342245989304813,0.9798935648040508,AdaBoost,1020.0,15.0,62.0,312.0
0.9304471256210078,0.8181818181818182,0.9746648066341164,RandomForest,1005.0,30.0,68.0,306.0
0.9453513129879348,0.8342245989304813,0.9798935648040508,AdaBoost,1020.0,15.0,62.0,312.0
0.9559971611071684,0.8689839572192514,0.9875868661034902,XGBoost,1022.0,13.0,49.0,325.0
0.9531582682753726,0.8877005347593583,0.9890800589010308,MLPClassifier,1011.0,24.0,42.0,332.0
0.9304471256210078,0.8181818181818182,0.9746648066341164,RandomForest,1005.0,30.0,68.0,306.0
0.9453513129879348,0.8342245989304813,0.9798935648040508,AdaBoost,1020.0,15.0,62.0,312.0
0.9559971611071684,0.8689839572192514,0.9875868661034902,XGBoost,1022.0,13.0,49.0,325.0
0.9531582682753726,0.8877005347593583,0.9890800589010307,MLPClassifier,1011.0,24.0,42.0,332.0
